Frequency (Hz)	Level (dB)
10.766602	-37.438065
21.533203	-34.391678
32.299805	-30.737408
43.066406	-31.269781
53.833008	-34.876453
64.599609	-35.706303
75.366211	-36.049294
86.132812	-35.898617
96.899414	-35.537624
107.666016	-34.650478
118.432617	-34.119297
129.199219	-33.918678
139.965820	-33.709026
150.732422	-33.282398
161.499023	-33.055492
172.265625	-32.786152
183.032227	-32.355347
193.798828	-32.108536
204.565430	-31.670925
215.332031	-31.511606
226.098633	-31.402943
236.865234	-31.177563
247.631836	-30.814108
258.398438	-30.436832
269.165039	-30.699884
279.931641	-31.312801
290.698242	-31.700069
301.464844	-31.815264
312.231445	-31.813993
322.998047	-31.993513
333.764648	-32.468895
344.531250	-32.622105
355.297852	-32.705654
366.064453	-32.799641
376.831055	-33.020302
387.597656	-32.993896
398.364258	-33.299606
409.130859	-33.403091
419.897461	-33.646667
430.664062	-33.809608
441.430664	-34.246300
452.197266	-34.577423
462.963867	-34.708851
473.730469	-34.608128
484.497070	-34.682510
495.263672	-34.580956
506.030273	-34.842804
516.796875	-34.762276
527.563477	-34.283562
538.330078	-34.605927
549.096680	-34.978313
559.863281	-35.344582
570.629883	-35.684490
581.396484	-36.206383
592.163086	-36.103718
602.929688	-36.427734
613.696289	-36.898174
624.462891	-36.904564
635.229492	-36.899380
645.996094	-37.327206
656.762695	-37.801586
667.529297	-37.929192
678.295898	-37.878036
689.062500	-37.888462
699.829102	-38.158558
710.595703	-38.528473
721.362305	-38.548504
732.128906	-38.494862
742.895508	-38.713772
753.662109	-38.833092
764.428711	-38.962582
775.195312	-39.001064
785.961914	-38.589069
796.728516	-38.061897
807.495117	-38.557751
818.261719	-39.591011
829.028320	-40.374920
839.794922	-40.855850
850.561523	-41.224503
861.328125	-41.235085
872.094727	-41.543213
882.861328	-41.778591
893.627930	-42.100498
904.394531	-42.079597
915.161133	-42.451851
925.927734	-42.834743
936.694336	-43.013371
947.460938	-43.103615
958.227539	-43.243320
968.994141	-43.473438
979.760742	-43.684219
990.527344	-43.892769
1001.293945	-44.137482
1012.060547	-44.213024
1022.827148	-43.864220
1033.593750	-43.569660
1044.360352	-42.390491
1055.126953	-40.613914
1065.893555	-40.062698
1076.660156	-41.127960
1087.426758	-42.750145
1098.193359	-43.871758
1108.959961	-44.528000
1119.726562	-45.651455
1130.493164	-46.494144
1141.259766	-46.766346
1152.026367	-47.300880
1162.792969	-47.543499
1173.559570	-47.638187
1184.326172	-47.956387
1195.092773	-48.414684
1205.859375	-48.799007
1216.625977	-48.829391
1227.392578	-48.754501
1238.159180	-49.240753
1248.925781	-49.177536
1259.692383	-49.180176
1270.458984	-49.307152
1281.225586	-49.216347
1291.992188	-48.346706
1302.758789	-46.978786
1313.525391	-45.351669
1324.291992	-43.603630
1335.058594	-43.748341
1345.825195	-45.851189
1356.591797	-47.538292
1367.358398	-49.200821
1378.125000	-50.165607
1388.891602	-50.619225
1399.658203	-51.425613
1410.424805	-51.780712
1421.191406	-51.830502
1431.958008	-52.132736
1442.724609	-52.418320
1453.491211	-52.920437
1464.257812	-52.969601
1475.024414	-53.053524
1485.791016	-53.460831
1496.557617	-53.530949
1507.324219	-53.104767
1518.090820	-52.798458
1528.857422	-52.569382
1539.624023	-52.043606
1550.390625	-50.959293
1561.157227	-49.249310
1571.923828	-46.917820
1582.690430	-44.488644
1593.457031	-43.178890
1604.223633	-43.692074
1614.990234	-45.950783
1625.756836	-48.382080
1636.523438	-50.457703
1647.290039	-51.713402
1658.056641	-52.414955
1668.823242	-53.002068
1679.589844	-53.761635
1690.356445	-54.590973
1701.123047	-54.995377
1711.889648	-54.965302
1722.656250	-55.106880
1733.422852	-55.258633
1744.189453	-55.118496
1754.956055	-54.921841
1765.722656	-54.685226
1776.489258	-54.018410
1787.255859	-53.146889
1798.022461	-52.311218
1808.789062	-50.755604
1819.555664	-48.857559
1830.322266	-46.629955
1841.088867	-44.244865
1851.855469	-42.014107
1862.622070	-41.139500
1873.388672	-42.582214
1884.155273	-44.836586
1894.921875	-47.009026
1905.688477	-48.897827
1916.455078	-50.368649
1927.221680	-51.547195
1937.988281	-52.546783
1948.754883	-53.442806
1959.521484	-53.741989
1970.288086	-54.219563
1981.054688	-54.360931
1991.821289	-54.248768
2002.587891	-54.277065
2013.354492	-54.075623
2024.121094	-53.675976
2034.887695	-53.229534
2045.654297	-52.549603
2056.420898	-51.769646
2067.187500	-50.576656
2077.954102	-48.930893
2088.720703	-46.805340
2099.487305	-44.382004
2110.253906	-41.992851
2121.020508	-40.142120
2131.787109	-40.143990
2142.553711	-41.935139
2153.320312	-44.129543
2164.086914	-46.077065
2174.853516	-47.588593
2185.620117	-48.895531
2196.386719	-49.926231
2207.153320	-50.528286
2217.919922	-51.086689
2228.686523	-51.521118
2239.453125	-51.942497
2250.219727	-51.994011
2260.986328	-52.262337
2271.752930	-52.221870
2282.519531	-51.942356
2293.286133	-51.479504
2304.052734	-50.975975
2314.819336	-50.303688
2325.585938	-49.337673
2336.352539	-48.042877
2347.119141	-46.462513
2357.885742	-44.364521
2368.652344	-41.912945
2379.418945	-39.307888
2390.185547	-38.069260
2400.952148	-38.869328
2411.718750	-40.791271
2422.485352	-42.935768
2433.251953	-44.677322
2444.018555	-46.318359
2454.785156	-47.502972
2465.551758	-48.548756
2476.318359	-49.204941
2487.084961	-49.567451
2497.851562	-50.168831
2508.618164	-50.497433
2519.384766	-50.392315
2530.151367	-50.162598
2540.917969	-49.978195
2551.684570	-49.597080
2562.451172	-48.978443
2573.217773	-48.233059
2583.984375	-47.421463
2594.750977	-46.444138
2605.517578	-45.226681
2616.284180	-43.444721
2627.050781	-41.409851
2637.817383	-39.267662
2648.583984	-36.990673
2659.350586	-36.333618
2670.117188	-37.305691
2680.883789	-38.998638
2691.650391	-41.282173
2702.416992	-43.251350
2713.183594	-44.625042
2723.950195	-45.549652
2734.716797	-46.117943
2745.483398	-47.020161
2756.250000	-47.511833
2767.016602	-47.683266
2777.783203	-47.462990
2788.549805	-47.795216
2799.316406	-47.887058
2810.083008	-47.675991
2820.849609	-47.248501
2831.616211	-46.535870
2842.382812	-45.675350
2853.149414	-44.918171
2863.916016	-44.033100
2874.682617	-42.474537
2885.449219	-40.756630
2896.215820	-38.352116
2906.982422	-36.429230
2917.749023	-34.738823
2928.515625	-34.600487
2939.282227	-35.996792
2950.048828	-37.819038
2960.815430	-39.767693
2971.582031	-41.076794
2982.348633	-42.373375
2993.115234	-43.218529
3003.881836	-44.002415
3014.648438	-44.429695
3025.415039	-44.836216
3036.181641	-45.358360
3046.948242	-45.628056
3057.714844	-45.294819
3068.481445	-45.408607
3079.248047	-45.055515
3090.014648	-44.623901
3100.781250	-43.875916
3111.547852	-43.099945
3122.314453	-42.251278
3133.081055	-40.807144
3143.847656	-39.707108
3154.614258	-37.934113
3165.380859	-35.614986
3176.147461	-33.979877
3186.914062	-33.112679
3197.680664	-33.466686
3208.447266	-34.701115
3219.213867	-36.405613
3229.980469	-38.111771
3240.747070	-39.353771
3251.513672	-40.383553
3262.280273	-41.213928
3273.046875	-41.764091
3283.813477	-42.396938
3294.580078	-42.448910
3305.346680	-43.182259
3316.113281	-43.411480
3326.879883	-43.212803
3337.646484	-43.125092
3348.413086	-42.492954
3359.179688	-41.741550
3369.946289	-41.180893
3380.712891	-40.365540
3391.479492	-39.621849
3402.246094	-38.555672
3413.012695	-37.363430
3423.779297	-35.893761
3434.545898	-33.991150
3445.312500	-32.310612
3456.079102	-31.942894
3466.845703	-32.959820
3477.612305	-34.152878
3488.378906	-35.326458
3499.145508	-36.824657
3509.912109	-38.024609
3520.678711	-38.873150
3531.445312	-39.573944
