Frequency (Hz)	Level (dB)
10.766602	-61.092308
21.533203	-53.724823
32.299805	-49.884186
43.066406	-47.533291
53.833008	-45.168362
64.599609	-43.301552
75.366211	-42.007133
86.132812	-41.408398
96.899414	-40.383678
107.666016	-39.132828
118.432617	-38.266247
129.199219	-38.085846
139.965820	-37.874413
150.732422	-37.655750
161.499023	-37.657608
172.265625	-37.728134
183.032227	-37.691498
193.798828	-37.601048
204.565430	-37.436855
215.332031	-36.486492
226.098633	-36.604721
236.865234	-37.965267
247.631836	-38.786522
258.398438	-39.240078
269.165039	-39.806080
279.931641	-40.147762
290.698242	-40.349319
301.464844	-40.655308
312.231445	-41.178844
322.998047	-41.702835
333.764648	-42.065472
344.531250	-42.196079
355.297852	-42.568859
366.064453	-42.792400
376.831055	-42.965744
387.597656	-43.098835
398.364258	-43.420013
409.130859	-43.489395
419.897461	-42.624794
430.664062	-41.406017
441.430664	-39.921249
452.197266	-40.234310
462.963867	-42.216930
473.730469	-43.978222
484.497070	-45.350563
495.263672	-46.141525
506.030273	-46.701439
516.796875	-47.386936
527.563477	-48.202209
538.330078	-48.556526
549.096680	-48.936363
559.863281	-49.375103
570.629883	-49.845203
581.396484	-50.079594
592.163086	-50.189960
602.929688	-50.147480
613.696289	-49.959213
624.462891	-49.223576
635.229492	-48.237919
645.996094	-46.533211
656.762695	-44.078972
667.529297	-42.042587
678.295898	-42.656475
689.062500	-45.287056
699.829102	-48.342968
710.595703	-50.606052
721.362305	-51.874973
732.128906	-52.969955
742.895508	-53.689487
753.662109	-54.307533
764.428711	-54.844952
775.195312	-54.884151
785.961914	-54.461514
796.728516	-54.062508
807.495117	-53.988716
818.261719	-54.155338
829.028320	-53.456917
839.794922	-52.632404
850.561523	-51.313046
861.328125	-48.813557
872.094727	-45.349831
882.861328	-41.492897
893.627930	-39.887299
904.394531	-41.207054
915.161133	-43.391647
925.927734	-45.004478
936.694336	-46.203682
947.460938	-47.790005
958.227539	-49.842552
968.994141	-51.595886
979.760742	-53.208485
990.527344	-54.445427
1001.293945	-55.665077
1012.060547	-56.094135
1022.827148	-55.830235
1033.593750	-55.357048
1044.360352	-54.484661
1055.126953	-53.646072
1065.893555	-52.882084
1076.660156	-51.202225
1087.426758	-48.560528
1098.193359	-45.142704
1108.959961	-42.355255
1119.726562	-42.337502
1130.493164	-45.043419
1141.259766	-48.627544
1152.026367	-50.888783
1162.792969	-52.607567
1173.559570	-54.004295
1184.326172	-54.877209
1195.092773	-55.370468
1205.859375	-55.752686
1216.625977	-56.277889
1227.392578	-56.674511
1238.159180	-56.673031
1248.925781	-56.269909
1259.692383	-55.544205
1270.458984	-54.798611
1281.225586	-53.850311
1291.992188	-52.543549
1302.758789	-50.662495
1313.525391	-48.098347
1324.291992	-43.425117
1335.058594	-39.913078
1345.825195	-40.078487
1356.591797	-42.841400
1367.358398	-46.491764
1378.125000	-48.964428
1388.891602	-50.596012
1399.658203	-52.249889
1410.424805	-53.095604
1421.191406	-53.610184
1431.958008	-54.042393
1442.724609	-54.301849
1453.491211	-54.422119
1464.257812	-54.048073
1475.024414	-53.774586
1485.791016	-52.924290
1496.557617	-51.795311
1507.324219	-49.905178
1518.090820	-48.179455
1528.857422	-46.081291
1539.624023	-43.051056
1550.390625	-39.399117
1561.157227	-37.636589
1571.923828	-38.720020
1582.690430	-41.317661
1593.457031	-43.869629
1604.223633	-46.445942
1614.990234	-48.946621
1625.756836	-50.686958
1636.523438	-51.769169
1647.290039	-52.347404
1658.056641	-52.489208
1668.823242	-52.573833
1679.589844	-52.551945
1690.356445	-52.412544
1701.123047	-51.742298
1711.889648	-50.707397
1722.656250	-49.670193
1733.422852	-48.475185
1744.189453	-46.445679
1754.956055	-43.440140
1765.722656	-40.184425
1776.489258	-37.052601
1787.255859	-36.759464
1798.022461	-39.471962
1808.789062	-42.585560
1819.555664	-44.819576
1830.322266	-46.503651
1841.088867	-48.293137
1851.855469	-50.412632
1862.622070	-52.612888
1873.388672	-53.264046
1884.155273	-52.210087
1894.921875	-51.424438
1905.688477	-50.777477
1916.455078	-50.038445
1927.221680	-49.414448
1937.988281	-48.361240
1948.754883	-47.026836
1959.521484	-45.561863
1970.288086	-43.719246
1981.054688	-40.739864
1991.821289	-37.228622
2002.587891	-35.397030
2013.354492	-36.064186
2024.121094	-38.828339
2034.887695	-41.827919
2045.654297	-44.047485
2056.420898	-45.636875
2067.187500	-46.814537
2077.954102	-47.647221
2088.720703	-48.094715
2099.487305	-48.090679
2110.253906	-47.249565
2121.020508	-45.638840
2131.787109	-44.410362
2142.553711	-43.869671
2153.320312	-43.633076
2164.086914	-43.074490
2174.853516	-42.029495
2185.620117	-40.765041
2196.386719	-38.670589
2207.153320	-35.733234
2217.919922	-32.587086
2228.686523	-31.452396
2239.453125	-33.012394
2250.219727	-35.702549
2260.986328	-38.465221
2271.752930	-40.440136
