Frequency (Hz)	Level (dB)
10.766602	-36.942551
21.533203	-31.156113
32.299805	-28.940626
43.066406	-29.447008
53.833008	-31.142866
64.599609	-33.150204
75.366211	-35.141087
86.132812	-37.822948
96.899414	-40.393921
107.666016	-42.525303
118.432617	-44.255169
129.199219	-45.261372
139.965820	-45.625286
150.732422	-46.184673
161.499023	-46.822208
172.265625	-47.429340
183.032227	-48.421864
193.798828	-50.049629
204.565430	-52.005531
215.332031	-53.878414
226.098633	-56.133553
236.865234	-57.919865
247.631836	-57.494526
258.398438	-56.988846
269.165039	-56.329414
279.931641	-56.098694
290.698242	-56.225109
301.464844	-56.419559
312.231445	-57.032410
322.998047	-57.839382
333.764648	-59.118099
344.531250	-60.618683
355.297852	-62.443867
366.064453	-64.374138
376.831055	-64.915962
387.597656	-64.353409
398.364258	-62.845745
409.130859	-61.445366
419.897461	-60.638924
430.664062	-60.299244
441.430664	-60.400406
452.197266	-60.845600
462.963867	-61.837841
473.730469	-63.303200
484.497070	-64.751656
495.263672	-65.480400
506.030273	-64.965668
516.796875	-63.560772
527.563477	-62.287342
538.330078	-61.449993
549.096680	-61.035927
559.863281	-60.884098
570.629883	-61.008499
581.396484	-61.383503
592.163086	-61.680012
602.929688	-61.815708
613.696289	-61.806610
624.462891	-61.530758
635.229492	-61.313725
645.996094	-60.918865
656.762695	-59.992462
667.529297	-59.323681
678.295898	-59.203575
689.062500	-59.021030
699.829102	-58.867161
710.595703	-58.486492
721.362305	-57.780239
732.128906	-57.340321
742.895508	-56.615402
753.662109	-55.665981
764.428711	-54.510571
775.195312	-53.299824
785.961914	-51.514034
796.728516	-49.862091
807.495117	-48.886154
818.261719	-48.707062
829.028320	-48.764580
839.794922	-49.471031
850.561523	-51.082161
861.328125	-52.693718
872.094727	-54.121788
882.861328	-55.875908
893.627930	-57.734070
904.394531	-58.835670
915.161133	-59.260284
925.927734	-59.732582
936.694336	-60.308510
947.460938	-61.094673
958.227539	-61.900005
