Frequency (Hz)	Level (dB)
10.766602	-78.396187
21.533203	-73.601021
32.299805	-71.196327
43.066406	-69.213188
53.833008	-66.734398
64.599609	-66.285973
75.366211	-66.714249
86.132812	-66.840744
96.899414	-67.020386
107.666016	-66.412041
118.432617	-65.735939
129.199219	-66.311424
139.965820	-66.208099
150.732422	-65.702545
161.499023	-65.487411
172.265625	-65.295235
183.032227	-64.910545
193.798828	-64.649467
204.565430	-63.984653
215.332031	-63.585758
226.098633	-64.225830
236.865234	-64.870453
247.631836	-64.689133
258.398438	-64.513687
269.165039	-64.412514
279.931641	-64.513382
290.698242	-64.661751
301.464844	-64.286804
312.231445	-63.929558
322.998047	-63.661198
333.764648	-63.681717
344.531250	-63.166653
355.297852	-62.957546
366.064453	-62.394962
376.831055	-61.668182
387.597656	-60.988857
398.364258	-60.482571
409.130859	-59.697590
419.897461	-58.780579
430.664062	-57.728428
441.430664	-55.918945
452.197266	-53.007549
462.963867	-50.760880
473.730469	-49.628628
484.497070	-49.321514
495.263672	-49.192123
506.030273	-49.387897
516.796875	-50.143745
527.563477	-51.192287
538.330078	-52.470215
549.096680	-54.012371
559.863281	-55.469547
570.629883	-57.343430
581.396484	-58.684410
592.163086	-59.700871
602.929688	-60.469872
613.696289	-61.062695
624.462891	-61.293926
635.229492	-61.999626
645.996094	-62.200607
656.762695	-61.985691
667.529297	-61.586609
678.295898	-62.460815
689.062500	-63.513664
699.829102	-64.307816
710.595703	-64.893967
721.362305	-65.077011
732.128906	-65.178406
742.895508	-65.136383
753.662109	-64.920998
764.428711	-65.009781
775.195312	-64.666023
785.961914	-63.520790
796.728516	-62.568325
807.495117	-62.419998
818.261719	-62.708923
829.028320	-62.458118
839.794922	-62.561485
850.561523	-62.546387
861.328125	-62.291256
872.094727	-61.979668
882.861328	-62.294640
893.627930	-62.287834
904.394531	-60.885990
915.161133	-59.243481
925.927734	-57.687622
936.694336	-56.214439
947.460938	-54.807205
958.227539	-54.199978
968.994141	-53.139229
979.760742	-52.351418
990.527344	-51.640587
1001.293945	-51.439354
1012.060547	-51.395248
1022.827148	-51.286522
1033.593750	-51.113415
1044.360352	-51.214771
1055.126953	-51.910240
1065.893555	-52.996449
1076.660156	-54.076271
1087.426758	-55.365566
1098.193359	-55.992035
1108.959961	-55.769932
1119.726562	-55.787155
1130.493164	-56.824059
1141.259766	-58.409298
1152.026367	-59.346992
1162.792969	-60.473713
